Datos sobre casos del COVID19 en España;;;;;;;;
Datos diarios proporcionados por los medios de comunicación (RTVE);;;;;;;;
Days;CONTAGIADOS;HOSPITALIZADOS;UCI;FALLECIDOS;RECUPERADOS;IP;R0_14;R0_7
09/03/2020;762;0;59;13;0;775;;
10/03/2020;623;0;32;19;0;642;;
11/03/2020;506;0;42;12;0;518;;
12/03/2020;822;0;48;37;0;859;;
13/03/2020;1259;0;82;34;0;1293;;
14/03/2020;1546;0;0;18;0;1564;;
15/03/2020;2000;0;0;152;0;2152;;2.624671916
16/03/2020;1438;0;432;21;530;929;;2.308186196
17/03/2020;1987;0;131;182;498;1671;;3.92687747
18/03/2020;2538;0;211;107;489;2156;;3.087591241
19/03/2020;3431;0;165;169;535;3065;;2.725178713
20/03/2020;2833;0;186;235;481;2587;;1.832470893
21/03/2020;4946;13282;487;324;540;4730;;2.473
22/03/2020;3646;2272;173;394;484;3556;;2.535465925
23/03/2020;4517;2820;570;462;782;4197;5.927821522;2.273276296
24/03/2020;6584;4388;281;514;439;6659;10.5682183;2.594168637
25/03/2020;7937;4198;530;738;1573;7102;15.68577075;2.313319732
26/03/2020;8578;4952;513;655;1648;7585;10.43552311;3.027885634
27/03/2020;7871;4381;486;769;2342;6298;6.251787133;1.591386979
28/03/2020;8189;4337;410;832;2928;6093;5.296895213;2.246023039
29/03/2020;6549;2767;332;838;2424;4963;3.2745;1.449856099
30/03/2020;6398;3220;324;812;2072;5138;4.449235049;0.971749696
31/03/2020;9222;2626;376;849;2479;7592;4.641167589;1.161899962
01/04/2020;7719;2175;265;864;3388;5195;3.041371158;0.899860107
02/04/2020;8102;2695;220;950;4096;4956;2.361410667;1.02934824
03/04/2020;7472;2524;324;932;3770;4634;2.637486763;0.912443522
04/04/2020;7026;975;116;809;3706;4129;1.420541852;1.072835547
05/04/2020;6023;1132;329;674;3861;2836;1.65194734;0.941387934
06/04/2020;4273;918;70;637;2357;2553;0.945981846;0.463348514
07/04/2020;5478;3431;138;743;2771;3450;0.832017011;0.709677419
08/04/2020;6180;423;63;757;4813;2124;0.778631725;0.762774624
09/04/2020;5756;3063;239;683;4144;2295;0.671018886;0.770342612
10/04/2020;4576;993;111;605;3503;1678;0.581374666;0.651295189
11/04/2020;4830;478;53;510;3441;1899;0.589815606;0.801925951
12/04/2020;4167;5415;19;619;3282;1504;0.636280348;0.975193073
13/04/2020;3477;1764;223;517;2336;1658;0.543451078;0.634720701
14/04/2020;3045;523;74;567;2777;835;0.330188679;0.492718447
15/04/2020;4978;369;20;523;3349;2152;0.644902189;0.864836692
16/04/2020;5183;1094;87;551;3947;1787;0.639718588;1.132648601
17/04/2020;5252;594;34;585;3502;2335;0.702890792;1.0873706
18/04/2020;4499;1666;79;565;3166;1898;0.640335895;1.079673626
19/04/2020;4218;857;89;410;2695;1933;0.700315457;1.213114754
20/04/2020;3572;542;46;399;1694;2277;0.835946642;1.173070608
21/04/2020;3968;852;49;430;1928;2470;0.724351953;0.797107272
22/04/2020;4211;972;52;435;3401;1245;0.681391586;0.812463824
23/04/2020;4635;867;52;440;3335;1740;0.805246699;0.882520944
24/04/2020;2796;932;118;367;3105;58;0.611013986;0.621471438
25/04/2020;2944;389;31;378;3353;-31;0.60952381;0.697961119
26/04/2020;1729;1635;33;288;3024;-1007;0.414926806;0.484042553
27/04/2020;1831;351;174;331;2144;18;0.526603394;0.461441532
28/04/2020;1308;878;75;301;1673;-64;0.42955665;0.310615056
29/04/2020;2144;908;49;325;6399;-3930;0.430695058;0.462567422
30/04/2020;1309;816;57;628;3103;-1166;0.252556434;0.468168813
01/05/2020;1175;732;84;281;2628;-1172;0.223724296;0.399116848
02/05/2020;1147;556;49;276;2572;-1149;0.254945543;0.663389242
03/05/2020;838;547;65;164;1654;-652;0.198672357;0.457673403
04/05/2020;356;394;21;164;2447;-1927;0.099664054;0.272171254
05/05/2020;867;720;37;185;0;1052;0.218497984;0.404384328
06/05/2020;685;857;51;244;0;929;0.1626692;0.523300229
07/05/2020;754;548;58;213;0;967;0.162675297;0.641702128
08/05/2020;1095;762;85;229;0;1324;0.391630901;0.954664342
09/05/2020;604;489;70;179;2200;-1417;0.205163043;0.720763723
10/05/2020;621;465;36;143;0;764;0.359167149;1.744382022
11/05/2020;373;257;20;123;0;496;0.203713818;0.430219146
12/05/2020;426;513;24;176;0;602;0.325688073;0.62189781
13/05/2020;439;412;65;184;0;623;0.204757463;0.582228117
14/05/2020;506;330;29;217;0;723;0.386554622;0.462100457
15/05/2020;549;346;29;138;0;687;0.467234043;0.908940397
